#  f=   .40000E+00  slow=   .10000E+00  sbig=   .80000E+01
#    U0V0          S            Chi          V0         U0         IVol
  .59729E+01   .18000E+00   .10286E+03   .10281E+03   .58098E-01     0
  .59728E+01   .18071E+00   .10245E+03   .10240E+03   .58328E-01     0
  .59728E+01   .18143E+00   .10205E+03   .10200E+03   .58557E-01     0
  .59727E+01   .18214E+00   .10165E+03   .10160E+03   .58787E-01     0
  .59727E+01   .18286E+00   .10125E+03   .10120E+03   .59017E-01     0
  .59726E+01   .18357E+00   .10086E+03   .10081E+03   .59247E-01     0
  .59725E+01   .18500E+00   .10008E+03   .10003E+03   .59707E-01     0
  .59724E+01   .18571E+00   .99699E+02   .99645E+02   .59937E-01     0
  .59723E+01   .18714E+00   .98939E+02   .98885E+02   .60397E-01     0
  .59723E+01   .18786E+00   .98563E+02   .98509E+02   .60627E-01     0
  .59722E+01   .18929E+00   .97820E+02   .97766E+02   .61086E-01     0
  .59721E+01   .19000E+00   .97453E+02   .97398E+02   .61316E-01     0
  .59653E+01   .25960E+00   .71368E+02   .71293E+02   .83673E-01     0
  .59551E+01   .33939E+00   .54635E+02   .54539E+02   .10919E+00     0
  .59422E+01   .41919E+00   .44283E+02   .44165E+02   .13455E+00     0
  .59268E+01   .49899E+00   .37250E+02   .37110E+02   .15971E+00     0
  .59088E+01   .57879E+00   .32162E+02   .32002E+02   .18464E+00     0
  .58883E+01   .65859E+00   .28312E+02   .28134E+02   .20930E+00     0
  .58655E+01   .73838E+00   .25299E+02   .25102E+02   .23367E+00     0
  .58404E+01   .81818E+00   .22877E+02   .22663E+02   .25771E+00     0
  .58132E+01   .89798E+00   .20888E+02   .20659E+02   .28139E+00     0
  .57838E+01   .97778E+00   .19225E+02   .18982E+02   .30470E+00     0
  .57525E+01   .10576E+01   .17816E+02   .17560E+02   .32759E+00     0
  .57194E+01   .11374E+01   .16605E+02   .16338E+02   .35006E+00     0
  .56845E+01   .12172E+01   .15553E+02   .15277E+02   .37208E+00     0
  .56480E+01   .12970E+01   .14632E+02   .14348E+02   .39364E+00     0
  .56100E+01   .13768E+01   .13817E+02   .13528E+02   .41471E+00     0
  .55706E+01   .14566E+01   .13091E+02   .12798E+02   .43528E+00     0
  .55299E+01   .15364E+01   .12440E+02   .12144E+02   .45534E+00     0
  .54880E+01   .16162E+01   .11852E+02   .11557E+02   .47488E+00     0
  .54452E+01   .16960E+01   .11318E+02   .11025E+02   .49389E+00     0
  .54014E+01   .17758E+01   .10831E+02   .10542E+02   .51237E+00     0
  .53568E+01   .18556E+01   .10384E+02   .10101E+02   .53030E+00     0
  .53114E+01   .19354E+01   .99721E+01   .96979E+01   .54769E+00     0
  .52655E+01   .20152E+01   .95908E+01   .93272E+01   .56453E+00     0
  .52190E+01   .20949E+01   .92365E+01   .89855E+01   .58082E+00     0
  .51721E+01   .21747E+01   .89058E+01   .86698E+01   .59657E+00     0
  .51249E+01   .22545E+01   .85961E+01   .83772E+01   .61177E+00     0
  .50774E+01   .23343E+01   .83050E+01   .81054E+01   .62643E+00     0
  .50298E+01   .24141E+01   .80304E+01   .78523E+01   .64054E+00     0
  .49820E+01   .24939E+01   .77707E+01   .76163E+01   .65413E+00     0
  .49342E+01   .25737E+01   .75241E+01   .73956E+01   .66718E+00     0
  .48865E+01   .26535E+01   .72894E+01   .71890E+01   .67971E+00     0
  .48388E+01   .27333E+01   .70654E+01   .69952E+01   .69173E+00     0
  .47913E+01   .28131E+01   .68509E+01   .68132E+01   .70323E+00     0
  .47439E+01   .28929E+01   .66450E+01   .66420E+01   .71424E+00     0
  .46969E+01   .29727E+01   .64470E+01   .64807E+01   .72475E+00     0
  .46501E+01   .30525E+01   .62560E+01   .63286E+01   .73477E+00     0
  .46036E+01   .31323E+01   .60714E+01   .61849E+01   .74433E+00     0
  .45575E+01   .32121E+01   .58925E+01   .60492E+01   .75341E+00     0
  .45118E+01   .32919E+01   .57189E+01   .59207E+01   .76204E+00     0
  .44666E+01   .33717E+01   .55500E+01   .57990E+01   .77022E+00     0
  .44217E+01   .34515E+01   .53854E+01   .56837E+01   .77797E+00     0
  .43774E+01   .35313E+01   .52247E+01   .55743E+01   .78528E+00     0
  .43335E+01   .36111E+01   .50675E+01   .54704E+01   .79218E+00     0
  .42902E+01   .36909E+01   .49136E+01   .53717E+01   .79866E+00     0
  .42474E+01   .37707E+01   .47626E+01   .52779E+01   .80475E+00     0
  .42051E+01   .38505E+01   .46142E+01   .51887E+01   .81045E+00     0
  .41634E+01   .39303E+01   .44682E+01   .51037E+01   .81576E+00     0
  .41223E+01   .40101E+01   .43244E+01   .50228E+01   .82071E+00     0
  .40817E+01   .40899E+01   .41826E+01   .49458E+01   .82529E+00     0
  .40417E+01   .41697E+01   .40425E+01   .48723E+01   .82952E+00     0
  .40023E+01   .42495E+01   .39040E+01   .48023E+01   .83341E+00     0
  .39635E+01   .43293E+01   .37670E+01   .47355E+01   .83696E+00     0
  .39252E+01   .44091E+01   .36312E+01   .46718E+01   .84019E+00     0
  .38876E+01   .44889E+01   .34966E+01   .46111E+01   .84310E+00     0
  .38505E+01   .45687E+01   .33631E+01   .45530E+01   .84569E+00     0
  .38140E+01   .46485E+01   .32304E+01   .44977E+01   .84799E+00     0
  .37781E+01   .47283E+01   .30986E+01   .44448E+01   .84999E+00     0
  .37427E+01   .48081E+01   .29675E+01   .43944E+01   .85171E+00     0
  .37080E+01   .48879E+01   .28370E+01   .43462E+01   .85315E+00     0
  .36738E+01   .49677E+01   .27070E+01   .43002E+01   .85432E+00     0
  .36401E+01   .50475E+01   .25775E+01   .42564E+01   .85522E+00     0
  .36071E+01   .51273E+01   .24484E+01   .42145E+01   .85587E+00     0
  .35745E+01   .52071E+01   .23196E+01   .41745E+01   .85627E+00     0
  .35425E+01   .52869E+01   .21910E+01   .41364E+01   .85643E+00     0
  .35111E+01   .53667E+01   .20626E+01   .41001E+01   .85635E+00     0
  .34802E+01   .54465E+01   .19344E+01   .40654E+01   .85604E+00     0
  .34498E+01   .55263E+01   .18063E+01   .40324E+01   .85551E+00     0
  .34199E+01   .56061E+01   .16782E+01   .40010E+01   .85476E+00     0
  .33905E+01   .56859E+01   .15501E+01   .39711E+01   .85379E+00     0
  .33616E+01   .57657E+01   .14220E+01   .39427E+01   .85262E+00     0
  .33332E+01   .58455E+01   .12937E+01   .39157E+01   .85125E+00     0
  .33053E+01   .59253E+01   .11654E+01   .38900E+01   .84968E+00     0
  .32778E+01   .60051E+01   .10369E+01   .38657E+01   .84792E+00     0
  .32508E+01   .60848E+01   .90821E+00   .38427E+01   .84597E+00     0
  .32243E+01   .61646E+01   .77931E+00   .38209E+01   .84385E+00     0
  .31982E+01   .62444E+01   .65017E+00   .38004E+01   .84154E+00     0
  .31725E+01   .63242E+01   .52075E+00   .37810E+01   .83906E+00     0
  .31472E+01   .64040E+01   .39104E+00   .37627E+01   .83642E+00     0
  .31224E+01   .64838E+01   .26101E+00   .37456E+01   .83361E+00     0
  .30979E+01   .65636E+01   .13063E+00   .37296E+01   .83064E+00     0
  .30739E+01   .66434E+01  -.10506E-03   .37146E+01   .82751E+00     0
  .30502E+01   .67232E+01  -.13123E+00   .37007E+01   .82423E+00     0
  .30269E+01   .68030E+01  -.26276E+00   .36877E+01   .82080E+00     0
  .30040E+01   .68828E+01  -.39471E+00   .36758E+01   .81723E+00     0
  .29814E+01   .69626E+01  -.52709E+00   .36648E+01   .81351E+00     0
  .29592E+01   .70424E+01  -.65994E+00   .36549E+01   .80965E+00     0
  .29373E+01   .71222E+01  -.79325E+00   .36458E+01   .80565E+00     0
  .29157E+01   .72020E+01  -.92705E+00   .36377E+01   .80153E+00     0
  .28944E+01   .72818E+01  -.10614E+01   .36304E+01   .79726E+00     0
  .28735E+01   .73616E+01  -.11962E+01   .36241E+01   .79288E+00     0
  .28528E+01   .74414E+01  -.13315E+01   .36187E+01   .78836E+00     0
  .28325E+01   .75212E+01  -.14674E+01   .36141E+01   .78372E+00     0
  .28124E+01   .76010E+01  -.16038E+01   .36104E+01   .77896E+00     0
  .27925E+01   .76808E+01  -.17408E+01   .36076E+01   .77407E+00     0
  .27730E+01   .77606E+01  -.18784E+01   .36056E+01   .76907E+00     0
  .27537E+01   .78404E+01  -.20166E+01   .36045E+01   .76395E+00     0
  .27346E+01   .79202E+01  -.21553E+01   .36042E+01   .75872E+00     0
  .27158E+01   .80000E+01  -.22947E+01   .36048E+01   .75338E+00     0
  .26741E+01   .81795E+01  -.26105E+01   .36091E+01   .74094E+00     0
  .26508E+01   .82821E+01  -.27924E+01   .36135E+01   .73358E+00     0
  .26278E+01   .83846E+01  -.29754E+01   .36193E+01   .72605E+00     0
  .26050E+01   .84872E+01  -.31595E+01   .36265E+01   .71833E+00     0
  .25826E+01   .85897E+01  -.33447E+01   .36352E+01   .71044E+00     0
  .25603E+01   .86923E+01  -.35311E+01   .36452E+01   .70237E+00     0
  .25382E+01   .87949E+01  -.37186E+01   .36568E+01   .69412E+00     0
  .25164E+01   .88974E+01  -.39073E+01   .36698E+01   .68569E+00     0
  .24946E+01   .90000E+01  -.40973E+01   .36844E+01   .67708E+00     1
